id,name,email
2-0,Alice,alice0@outlook.com
2-1,Alice,alice1@gmail.com
2-2,Heidi,heidi2@yahoo.com
2-3,,alice@gmail.com
2-4,Carol,carol4@gmail.com
2-5,Bob,bob5@yahoo.com
2-6,Grace,grace6@gmail.com
2-7,David,david7@gmail.com
2-8,Bob,bob8@example.com
2-9,Frank,frank9@outlook.com
2-10,David,david10@outlook.com
2-11,David,david11@outlook.com
2-12,Grace,grace12@yahoo.com
2-13,Eve,eveATgmail.com
2-14,Alice,alice14@example.com
2-15,Bob,bob15@gmail.com
2-16,David,david16@outlook.com
2-17,Carol,carol17@outlook.com
2-18,Bob,bob18@yahoo.com
2-19,Frank,frank19@outlook.com
2-20,Carol,carol20@example.com
2-21,Eve,eve21@gmail.com
2-22,Eve,eve22@gmail.com
2-23,Carol,carol23@outlook.com
2-24,Bob,bob24@gmail.com
2-25,Carol,carol25@outlook.com
2-26,Eve,eve26@yahoo.com
2-27,Frank,frank27@yahoo.com
2-28,Eve,eve28@example.com
2-29,Eve,eve29@gmail.com
2-30,Bob,bob30@example.com
2-31,Eve,eve31@gmail.com
2-32,Alice,alice32@outlook.com
2-33,Carol,carol33@outlook.com
2-34,Carol,carol34@example.com
2-35,Grace,grace35@gmail.com
2-36,Bob,bob36@gmail.com
2-37,,carol@outlook.com
2-38,Carol,carol38@example.com
2-39,Carol,carol39@gmail.com
2-40,Eve,eve40@outlook.com
2-41,Alice,alice41@outlook.com
2-42,David,david42@yahoo.com
2-43,Bob,bob43@outlook.com
2-44,Grace,grace44@yahoo.com
2-45,David,david45@yahoo.com
2-46,Carol,carol46@example.com
2-47,Alice,aliceAToutlook.com
2-48,Grace,grace48@yahoo.com
2-49,Eve,eve49@yahoo.com
