id,name,email
1-0,David,david0@yahoo.com
1-1,Frank,frank1@yahoo.com
1-2,Alice,alice2@outlook.com
1-3,Heidi,heidi3@gmail.com
1-4,Bob,bob4@outlook.com
1-5,Eve,eve5@yahoo.com
1-6,Alice,aliceATgmail.com
1-7,Bob,bob7@example.com
1-8,Bob,bob8@yahoo.com
1-9,Carol,carol9@example.com
1-10,Carol,carol10@outlook.com
1-11,Grace,grace11@yahoo.com
1-12,David,david12@outlook.com
1-13,Grace,grace13@outlook.com
1-14,Heidi,heidi14@example.com
1-15,Bob,bob15@yahoo.com
1-16,David,david16@gmail.com
1-17,Frank,frank17@gmail.com
1-18,David,david18@yahoo.com
1-19,Alice,aliceATgmail.com
1-20,David,david20@gmail.com
1-21,Alice,alice21@outlook.com
1-22,Bob,bob22@yahoo.com
1-23,Eve,eve23@example.com
1-24,David,david24@yahoo.com
1-25,Heidi,heidi25@yahoo.com
1-26,Heidi,heidi26@example.com
1-27,David,david27@gmail.com
1-28,Bob,bob28@example.com
1-29,Frank,frank29@example.com
1-30,Grace,grace30@example.com
1-31,Alice,alice31@gmail.com
1-32,Alice,aliceAToutlook.com
1-33,Bob,bob33@yahoo.com
1-34,David,david34@yahoo.com
1-35,Heidi,heidi35@yahoo.com
1-36,Grace,grace36@yahoo.com
1-37,Eve,eve37@example.com
1-38,,david@gmail.com
1-39,Heidi,heidi39@gmail.com
1-40,,alice@gmail.com
1-41,Bob,bob41@yahoo.com
1-42,Carol,carol42@example.com
1-43,Heidi,heidi43@example.com
1-44,David,david44@example.com
1-45,Alice,alice45@yahoo.com
1-46,Grace,grace46@gmail.com
1-47,Grace,grace47@outlook.com
1-48,Heidi,heidiATexample.com
1-49,Carol,carol49@yahoo.com
