id,name,email
0-0,Bob,bob0@gmail.com
0-1,Grace,graceATgmail.com
0-2,David,david2@yahoo.com
0-3,Alice,alice3@yahoo.com
0-4,Grace,grace4@yahoo.com
0-5,Heidi,heidi5@outlook.com
0-6,Alice,alice6@yahoo.com
0-7,Grace,graceATyahoo.com
0-8,,david@outlook.com
0-9,Bob,bob9@gmail.com
0-10,Grace,grace10@gmail.com
0-11,Frank,frank11@outlook.com
0-12,Eve,eve12@gmail.com
0-13,Heidi,heidi13@gmail.com
0-14,Grace,graceAToutlook.com
0-15,,frank@gmail.com
0-16,Alice,alice16@yahoo.com
0-17,,eve@yahoo.com
0-18,Bob,bob18@example.com
0-19,Eve,eve19@example.com
0-20,Frank,frank20@yahoo.com
0-21,Frank,frank21@outlook.com
0-22,David,david22@outlook.com
0-23,Bob,bob23@yahoo.com
0-24,David,david24@yahoo.com
0-25,Heidi,heidi25@example.com
0-26,Eve,eve26@yahoo.com
0-27,Frank,frank27@gmail.com
0-28,David,david28@gmail.com
0-29,Frank,frank29@example.com
0-30,Eve,eve30@gmail.com
0-31,David,david31@outlook.com
0-32,David,david32@example.com
0-33,Grace,grace33@example.com
0-34,Carol,carol34@outlook.com
0-35,Carol,carol35@yahoo.com
0-36,Eve,eve36@example.com
0-37,Grace,grace37@outlook.com
0-38,David,david38@yahoo.com
0-39,Heidi,heidi39@gmail.com
0-40,Alice,alice40@gmail.com
0-41,Carol,carol41@yahoo.com
0-42,Grace,grace42@gmail.com
0-43,Grace,grace43@example.com
0-44,Heidi,heidi44@outlook.com
0-45,Alice,alice45@gmail.com
0-46,Eve,eve46@outlook.com
0-47,Bob,bobATyahoo.com
0-48,Heidi,heidi48@gmail.com
0-49,Eve,eve49@yahoo.com
